2026-05-08 00:17:53 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:53 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:54 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:54 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:17:54 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:54 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:54 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:55 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:55 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:55 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:55 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:56 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:56 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:56 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:56 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:56 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:17:56 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:56 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:56 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:56 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:57 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:57 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:57 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:57 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:57 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:57 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:57 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:58 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:58 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:58 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:58 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:58 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:17:58 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:59 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:59 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:59 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:59 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:17:59 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:59 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:17:59 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:00 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:00 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:00 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:00 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:00 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:00 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:00 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:00 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:18:01 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:01 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:01 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:01 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:01 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:02 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:02 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:03 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:03 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:03 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:03 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:18:04 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:05 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:05 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:06 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:06 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:06 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:18:06 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:07 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:07 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:07 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:07 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:08 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:08 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:08 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:08 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:09 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:10 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:10 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:11 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:12 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:13 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:14 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:15 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:15 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:16 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:17 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:18 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:18 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:19 | INFO | app.events.event_engine | Perception event emitted
